Hrs,Liq,Buy+Sell
158309,7010,Buy
158309,20674,Buy
158309,112705,Buy
158309,279,Buy
158309,7610,Buy
158310,4230,Buy
158310,8521,Buy
158310,28370,Buy
158310,226148,Buy
158310,7890,Buy
158310,61648,Buy
158310,4000,Buy
158310,7500,Buy
158310,220,Buy
158310,1500,Buy
158311,35008,Buy
158311,179681,Buy
158311,51000,Buy
158311,173608,Buy
158311,43320,Buy
158311,1000,Buy
158311,5540,Buy
158311,250,Buy
158311,500,Buy
158311,250,Buy
158311,170000,Buy
158311,20226,Buy
158311,640,Buy
158312,70,Buy
158312,2005,Buy
158312,600,Buy
158312,740,Buy
158312,1100,Buy
158312,675,Buy
158312,3500,Buy
158312,1100,Buy
158312,5000,Buy
158312,1001,Buy
158312,18500,Buy
158312,91828,Buy
158312,37,Buy
158312,1200,Buy
158312,32,Buy
158312,150,Buy
158312,535,Buy
158312,3900,Buy
158313,705,Buy
158313,11150,Buy
158313,500,Buy
158313,25286,Buy
158313,6261,Buy
158313,10324,Buy
158313,2806,Buy
158313,297134,Buy
158313,20595,Buy
158313,1609025,Buy
158313,31098,Buy
158313,16152,Buy
158313,39100,Buy
158313,200,Buy
158313,650,Buy
158313,700,Buy
158313,4750,Buy
158313,50,Buy
158313,46727,Buy
158313,32820,Buy
158313,126958,Buy
158313,100,Buy
158313,17400,Buy
158313,11484,Buy
158313,38008,Buy
158314,1000,Buy
158314,854,Buy
158314,5820,Buy
158314,5151,Buy
158314,343,Buy
158314,63450,Buy
158314,109400,Buy
158314,1000345,Buy
158314,338600,Buy
158314,95061,Buy
158314,2000,Buy
158314,4710,Buy
158314,8300,Buy
158314,30552,Buy
158314,4800,Buy
158314,177071,Buy
158314,748,Buy
158315,3060,Buy
158315,28,Buy
158315,500,Buy
158315,2035,Buy
158315,2650,Buy
158315,9050,Buy
158315,50,Buy
158315,8600,Buy
158315,4000,Buy
158316,39083,Buy
158316,9731,Buy
158316,454081,Buy
158316,1001,Buy
158316,53015,Buy
158316,40568,Buy
158316,11000,Buy
158316,402870,Buy
158316,4400,Buy
158316,34456,Buy
158316,15936,Buy
158316,171932,Buy
158316,131569,Buy
158316,10,Buy
158316,1802,Buy
158316,271,Buy
158316,1030,Buy
158316,29,Buy
158317,10,Buy
158317,42,Buy
158317,4460,Buy
158317,40250,Buy
158317,1006,Buy
158317,309,Buy
158317,51925,Buy
158317,420615,Buy
158317,18361,Buy
158317,52071,Buy
158317,1129423,Buy
158317,37868,Buy
158317,41795,Buy
158317,13630,Buy
158317,10852,Buy
158317,660025,Buy
158317,339335,Buy
158317,19100,Buy
158317,240415,Buy
158317,17445,Buy
158317,182440,Buy
158317,250,Buy
158317,553530,Buy
158317,4000,Buy
158317,73316,Buy
158317,244930,Buy
158317,51600,Buy
158317,179851,Buy
158317,58401,Buy
158317,6950,Buy
158317,77913,Buy
158317,5200,Buy
158317,425913,Buy
158317,149333,Buy
158317,55500,Buy
158317,20,Buy
158317,117240,Buy
158317,234304,Buy
158317,36839,Buy
158317,699825,Buy
158317,11000,Buy
158317,57300,Buy
158317,320,Buy
158318,401,Buy
158318,11459,Buy
158318,5659,Buy
158318,8004,Buy
158318,13200,Buy
158318,1000,Buy
158318,100,Buy
158318,4701,Buy
158318,1298,Buy
158318,51630,Buy
158318,23862,Buy
158318,38878,Buy
158318,20000,Buy
158318,102662,Buy
158318,30000,Buy
158318,30000,Buy
158318,510600,Buy
158318,203201,Buy
158318,13280,Buy
158319,100,Buy
158319,2160,Buy
158320,14000,Buy
158320,1324,Buy
158320,10450,Buy
158320,5,Buy
158320,13251,Buy
158320,15149,Buy
158320,51832,Buy
158320,10120,Buy
158320,1500,Buy
158320,22778,Buy
158320,6508,Buy
158320,140564,Buy
158320,92689,Buy
158320,15300,Buy
158320,100,Buy
158320,20001,Buy
158320,20980,Buy
158320,11100,Buy
158320,710,Buy
158320,150,Buy
158320,44000,Buy
158320,7325,Buy
158320,1000,Buy
158322,201,Buy
158324,89974,Buy
158324,1000,Buy
158324,600,Buy
158324,100000,Buy
158324,3000,Buy
158324,4840,Buy
158324,49720,Buy
158324,300,Buy
158324,81000,Buy
158324,6000,Buy
158324,1000,Buy
158324,2500,Buy
158324,1100,Buy
158324,300,Buy
158324,4344,Buy
158324,9000,Buy
158324,35550,Buy
158324,36227,Buy
158324,600,Buy
158324,310,Buy
158324,48000,Buy
158324,112000,Buy
158324,8191,Buy
158324,17004,Buy
158324,7300,Buy
158324,5400,Buy
158324,1200,Buy
158324,1520,Buy
158324,15000,Buy
158324,1000,Buy
158324,18050,Buy
158324,119110,Buy
158324,6680,Buy
158324,110392,Buy
158325,1100,Buy
158325,150,Buy
158325,22675,Buy
158325,3000,Buy
158325,1,Buy
158325,329187,Buy
158325,7222,Buy
158325,13800,Buy
158325,15616,Buy
158325,35651,Buy
158325,59051,Buy
158326,110,Buy
158326,650,Buy
158326,8325,Buy
158326,351128,Buy
158326,65840,Buy
158326,75800,Buy
158326,95628,Buy
158326,7000,Buy
158326,5000,Buy
158326,451,Buy
158326,100,Buy
158326,17460,Buy
158326,15880,Buy
158326,26318,Buy
158326,2331,Buy
158326,4100,Buy
158326,8600,Buy
158326,505724,Buy
158326,5000,Buy
158326,222889,Buy
158326,100,Buy
158326,7500,Buy
158326,1900,Buy
158327,200,Buy
158327,3,Buy
158327,3000,Buy
158327,600,Buy
158328,10,Buy
158328,2500,Buy
158329,1003,Buy
158329,204360,Buy
158329,8688,Buy
158329,10080,Buy
158329,500,Buy
158329,1500,Buy
158329,873,Buy
158329,48128,Buy
158329,350,Buy
158329,182998,Buy
158330,12770,Buy
158330,23958,Buy
158330,23970,Buy
158330,23700,Buy
158330,1,Buy
158330,306475,Buy
158330,52535,Buy
158330,38610,Buy
158330,50,Buy
158331,4000,Buy
158331,452,Buy
158331,16743,Buy
158331,1850,Buy
158331,6600,Buy
158334,300,Buy
158334,1000,Buy
158334,34749,Buy
158334,5800,Buy
158334,58640,Buy
158334,60,Buy
158335,19251,Buy
158335,19892,Buy
158335,20,Buy
158335,2000,Buy
158335,3500,Buy
158335,6440,Buy
158336,1401,Buy
158336,99,Buy
158336,40,Buy
158336,3250,Buy
158336,10650,Buy
158337,12400,Buy
158338,128671,Buy
158338,33000,Buy
158338,48080,Buy
158338,42117,Buy
158338,258706,Buy
158338,31009,Buy
158338,16872,Buy
158338,1096770,Buy
158338,152570,Buy
158338,57920,Buy
158338,1464,Buy
158338,1648389,Buy
158338,12250,Buy
158338,8205,Buy
158338,44796,Buy
158338,279025,Buy
158338,5432,Buy
158338,20056,Buy
158338,1025611,Buy
158338,12961,Buy
158338,67010,Buy
158338,64385,Buy
158338,24785,Buy
158338,13000,Buy
158338,5000,Buy
158338,10000,Buy
158339,117864,Buy
158339,666155,Buy
158339,5759,Buy
158339,90173,Buy
158339,215430,Buy
158339,309059,Buy
158339,8000,Buy
158339,2300,Buy
158339,123984,Buy
158339,25000,Buy
158339,13,Buy
158339,12000,Buy
158339,75803,Buy
158339,3500,Buy
158339,17900,Buy
158339,1175,Buy
158339,20609,Buy
158340,300,Buy
158340,300,Buy
158340,11180,Buy
158340,5000,Buy
158340,2000,Buy
158340,31960,Buy
158341,11300,Buy
158341,250,Buy
158341,10022,Buy
158341,40,Buy
158341,12,Buy
158341,100,Buy
158341,5585,Buy
158341,30000,Buy
158341,32006,Buy
158341,94974,Buy
158341,1344511,Buy
158341,2289378,Buy
158341,1467842,Buy
158341,369709,Buy
158341,1013374,Buy
158341,44111,Buy
158341,133776,Buy
158341,1912,Buy
158341,28200,Buy
158341,46000,Buy
158341,1846219,Buy
158341,122089,Buy
158341,106221,Buy
158341,100300,Buy
158341,74117,Buy
158341,54423,Buy
158342,15300,Buy
158342,197489,Buy
158342,80,Buy
158342,1650,Buy
158342,3510,Buy
158342,500,Buy
158342,533598,Buy
158342,5592,Buy
158342,203625,Buy
158342,10300,Buy
158342,3198,Buy
158342,5510,Buy
158344,7100,Buy
158344,35302,Buy
158344,4000,Buy
158344,900,Buy
158344,84830,Buy
158344,50,Buy
158345,3940,Buy
158345,39102,Buy
158345,2800,Buy
158345,16418,Buy
158345,89192,Buy
158345,80850,Buy
158345,692509,Buy
158345,49272,Buy
158345,10546,Buy
158345,217980,Buy
158345,36911,Buy
158345,6700,Buy
158346,10000,Buy
158347,27200,Buy
158347,90,Buy
158347,7888,Buy
158347,4700,Buy
158348,33578,Buy
158348,2000,Buy
158349,2584,Buy
158349,50177,Buy
158349,10,Buy
158349,10000,Buy
158349,7004,Buy
158349,8325,Buy
158349,8980,Buy
158349,3900,Buy
158349,500,Buy
158349,750,Buy
158349,150,Buy
158349,3630,Buy
158349,16000,Buy
158349,3120,Buy
158350,50600,Buy
158350,5800,Buy
158350,665,Buy
158351,1600,Buy
158351,458390,Buy
158351,42400,Buy
158351,15600,Buy
158351,4411,Buy
158351,107372,Buy
158351,568817,Buy
158351,75994,Buy
158351,381,Buy
158351,69342,Buy
158351,6832,Buy
158351,5500,Buy
158351,16651,Buy
158351,270534,Buy
Hrs, Liq, Buy+Sell
158309,20200,Sell
158309,643357,Sell
158310,20,Sell
158310,50000,Sell
158310,150,Sell
158310,7,Sell
158310,4000,Sell
158310,1366,Sell
158310,30000,Sell
158310,2000,Sell
158310,264710,Sell
158310,5900,Sell
158310,3104739,Sell
158310,5295699,Sell
158312,34400,Sell
158312,12620,Sell
158313,240,Sell
158314,40,Sell
158315,530,Sell
158315,3500,Sell
158315,194000,Sell
158315,2000,Sell
158315,4,Sell
158315,8700,Sell
158316,10000,Sell
158316,1000,Sell
158317,20400,Sell
158317,350,Sell
158317,14300,Sell
158317,5000,Sell
158317,20100,Sell
158317,71000,Sell
158318,150000,Sell
158318,588482,Sell
158318,1181,Sell
158318,3000,Sell
158318,70,Sell
158319,8701,Sell
158319,30017,Sell
158319,200,Sell
158319,93900,Sell
158319,35324,Sell
158319,4500,Sell
158319,6400,Sell
158319,21280,Sell
158320,1,Sell
158320,2330,Sell
158320,4577,Sell
158320,131281,Sell
158320,535250,Sell
158320,16329,Sell
158320,2000,Sell
158321,3200,Sell
158321,22200,Sell
158321,216,Sell
158321,9100,Sell
158321,7004,Sell
158321,16700,Sell
158321,36200,Sell
158321,351316,Sell
158321,400915,Sell
158322,632,Sell
158323,73134,Sell
158323,15000,Sell
158323,8520,Sell
158323,8142,Sell
158323,88680,Sell
158323,354447,Sell
158323,162328,Sell
158323,18643,Sell
158323,125020,Sell
158323,9010,Sell
158323,241064,Sell
158323,787895,Sell
158323,7501,Sell
158323,343461,Sell
158323,3300,Sell
158325,3001,Sell
158325,1000,Sell
158325,930,Sell
158325,20852,Sell
158325,10551,Sell
158325,215180,Sell
158325,113587,Sell
158325,2357658,Sell
158325,1000,Sell
158325,98658,Sell
158325,147405,Sell
158325,10150,Sell
158326,3301,Sell
158326,3000,Sell
158326,51500,Sell
158326,172082,Sell
158326,13000,Sell
158326,4920,Sell
158326,14014,Sell
158326,62100,Sell
158326,195087,Sell
158326,171222,Sell
158326,528033,Sell
158326,261013,Sell
158326,37380,Sell
158326,216868,Sell
158326,941674,Sell
158326,150555,Sell
158326,514756,Sell
158326,5100,Sell
158326,170,Sell
158326,2500,Sell
158326,12627,Sell
158326,177388,Sell
158326,141037,Sell
158326,782660,Sell
158326,106541,Sell
158326,152540,Sell
158326,1524379,Sell
158326,1219251,Sell
158326,200,Sell
158327,2089,Sell
158327,8100,Sell
158327,5000,Sell
158327,3125,Sell
158327,5000,Sell
158327,424128,Sell
158327,3690,Sell
158328,2031,Sell
158328,960,Sell
158329,7500,Sell
158329,869,Sell
158329,4250,Sell
158329,1350,Sell
158329,140,Sell
158332,55533,Sell
158332,10000,Sell
158332,3000,Sell
158332,17200,Sell
158332,10000,Sell
158333,46817,Sell
158333,4800,Sell
158333,21507,Sell
158333,35588,Sell
158333,268,Sell
158333,30310,Sell
158333,2000,Sell
158333,203030,Sell
158333,22025,Sell
158333,23451,Sell
158333,1341,Sell
158333,27575,Sell
158333,362934,Sell
158333,135169,Sell
158335,650,Sell
158335,10110,Sell
158335,3090,Sell
158335,20200,Sell
158335,2151,Sell
158335,373,Sell
158335,93955,Sell
158335,2079449,Sell
158335,955942,Sell
158335,75911,Sell
158335,99612,Sell
158335,40,Sell
158335,5620,Sell
158335,21,Sell
158335,1500,Sell
158335,3205,Sell
158337,2500,Sell
158337,3530,Sell
158337,20051,Sell
158337,3003,Sell
158339,10450,Sell
158339,821506,Sell
158339,29900,Sell
158339,3477,Sell
158339,5,Sell
158339,62300,Sell
158341,11747,Sell
158341,22000,Sell
158341,183065,Sell
158343,35175,Sell
158343,2000,Sell
158343,10500,Sell
158343,18000,Sell
158343,83142,Sell
158343,103821,Sell
158343,21777,Sell
158343,3840,Sell
158345,80470,Sell
158345,40737,Sell
158345,20666,Sell
158346,27900,Sell
158347,26500,Sell
158347,15714,Sell
158347,46326,Sell
158347,156,Sell
158347,18531,Sell
158347,21670,Sell
158347,225230,Sell
158347,20736,Sell
158348,101,Sell
158348,5400,Sell
158348,7600,Sell
158348,300,Sell
158350,1000,Sell
158351,10365,Sell
158351,9590,Sell
158351,50545,Sell
158351,132780,Sell
158352,17847,Sell
158352,4500,Sell
158352,112380,Sell
158352,202679,Sell
158352,11808,Sell
158352,3000,Sell
158352,37450,Sell
158352,13140,Sell
158352,60500,Sell
158352,14845,Sell
158352,16000,Sell
158352,12340,Sell
